id,category,question
64,Event,"Describe a time that you showed something new to others. When and what it was, Who you showed it to, How you showed it, And explain how you felt about it"
65,Event,"Describe a special meal that someone made for you. Who did it, When and how he/she cooked, What and why he/she cooked for you, And explain how you felt about the meal"
66,Event,"Describe an enjoyable journey by public transport. Where you were going, Who you were with, What happened during the journey, And explain why it was enjoyable"
67,Event,"Describe a time when you received money as a gift. When it happened, Who gave you the money, Why he/she gave you the money, And explain how you felt about it"
68,Event,"Describe a risk you took that you thought would lead to a terrible result but ended up with a positive result. When you took the risk, Why you took the risk, How it went, And explain how you felt about it"
69,Event,"Describe an activity you enjoyed in your free time when you were young. What it was, Where you did it, Who you did it with, And explain why you enjoyed it"
70,Event,"Describe an important achievement you have made. What you achieved, When and where you did it, Why it was an important achievement, And explain how you earned it"
71,Event,"Describe a time you taught something new to a younger person. When it happened, What you taught, Who you taught, And how you felt about the teaching"
72,Event,"Describe a time when someone gave you something that you really wanted. When it happened, What it was, Who gave it to you, And explain why you wanted it so much"
73,Event,"Describe a sport that you only have watched before but had not played by yourself. What it is, When and where you watched it, Who you watched it with, And explain how you felt about it"
74,Event,"Describe a piece of good news that you heard about someone you know well. What it was, When you heard it, How you knew it, And explain how you felt about it"
75,Event,"Describe a complaint that you made and you were satisfied with the result. When it happened, Who you complained to, What you complained about, And explain why you were satisfied with the result"
76,Event,"Describe a time when you were late for an important event. When it happened, Where it happened, What made you be late for the event, And explain how you felt about this experience"
77,Event,"Describe an occasion you wore the best clothes. When it happened, Where it happened, What kind of clothes you wore, And explain why you wore it"
78,Event,"Describe a time when you taught a friend/relative. Who you taught, What you taught, How the result was, And explain how you felt about the experience"
79,Event,"Describe a daily routine that you enjoy. What it is, Where and when you do it, Who you do it with, And explain why you enjoy it"
80,Event,"Describe a difficult thing you did and succeeded. What it was, How you overcame the difficulties, Whether you got help, And explain how you felt after you succeeded"
81,Event,"Describe the first day at school that you remember. When it was, Where the school is, What happened on that day, And explain why you still remember the experience"
82,Event,"Describe something you did that made you feel proud. What it was, How you did it, How difficult it was, And explain why you felt proud of it"
83,Event,"Describe a time when you had an unusual meal. When you had it, Where you had it, Who you had the meal with, And explain why it was unusual"
84,Event,"Describe a public event you have attended. What the event was, When you went there, Whom you went there with, And explain why you enjoyed this event"
