id,category,question
20,Object,What kinds of movies do you think are successful in your country? What are the factors that make a successful movie? Do Chinese people prefer to watch domestic movies or foreign movies? Do you think only well-known directors can create the best movies? Do you think successful movies should have well-known actors or actresses in leading roles? Why do people prefer to watch movies in the cinema?
21,Object,"Who would take photos more often, young people or older people? What do young people and old people like to take photos of? Why do some people pay a ton of money to hire professional photographers to take photos at some special occasions, such as weddings?"
22,Object,What are the reasons people buy expensive items? Do you think expensive items always offer better quality? How does consumer behaviour differ between various age groups?
23,Object,What technological products do people currently use? Why do big companies introduce new products frequently? Why are people so keen on buying iPhones even though they haven?¡¥t changed much? Does the development of technology affect the way we study?
24,Object,Does consumption have any impact on the environment? Why do people always want to buy new things to replace old ones? Why do some people like to buy expensive things? Why do some people prefer to buy things in the supermarket rather than online?
25,Object,"Why do people take photos? What do people use to take photos these days, cameras or phones? Is it difficult for people to learn how to take good photos? How do people keep their photos?"
26,Object,Should schools teach children how to grow plants? Why do some people prefer to live in the countryside? Have new kinds of plants been grown in your city recently? Why do some people like to keep plants at home? Are there many trees in your city?
27,Object,"What role does social media play in advertising? Does advertising encourage us to buy things we don?¡¥t need? Do you think it is useful to use celebrities in commercials? Which one is more effective, newspaper advertising or online advertising? What kinds of products are commonly advertised?"
28,Object,What are the differences between old people and young people when they use the internet? What kinds of people would still go to library to read and study? Why do some people like to read the news online instead of watching news on TV? What are the most popular and least popular apps in China?
29,Object,What are the advantages and disadvantages of public and private transportation? Why do some people have to travel a long distance every day to go to work? What are the advantages and disadvantages of living in the centre of a city and living in the suburbs of a city?
30,Object,Do you like to try new food? What kinds of foreign food are popular in your country? Is it expensive to eat out in your country? Why do more and more people dislike cooking at home? Is food now better than in the past? Is it important to have a meal together with your family?
31,Object,Why are shopping malls so popular in China? What are the advantages and disadvantages of shopping in small shops? Why do some people not like shopping in small shops? What are the differences between online shopping and in-store shopping? What are the advantages and disadvantages of shopping online?
32,Object,What rules should students follow at school? Do people in your country usually obey the law? What kinds of behavior are considered as good behavior? Do you think children can learn about the law outside of school? What are the benefits for people to obey rules? How can parents teach children to obey rules?
33,Object,"What are the differences between online learning and offline learning? Do you prefer to study alone or with a group of people? What subjects do most young people prefer to learn? Why? What is more important when choosing a job, high salary or interest? What do you think about face-to-face learning with teachers?"
34,Object,"What is the most important skill to learn these days? Which influences young people more when they choose a course, interest or future income? Do young people take their parents?¡¥ advice when choosing a major? Besides parents, who else would people take advice from? Why do some people prefer to study alone?"
35,Object,Do you prefer a climate with distinct four seasons or a changeable climate? What are the differences between people living in cold places and those living in hot places? How do you feel about the climate in recent years?
36,Place,"How does the internet affect culture? How is a culture formed? What kind of culture is popular among the young? How do young people learn different cultures? Which is more important in terms of culture, literature or music? Does the culture of the past have an impact on today?¡¥s culture?"
37,Place,What are apartments like in your country? Why are apartments welcome in some places while not in other places? What would people normally consider when they rent or buy a house or an apartment? Do different people have different preferences for houses or apartments? Why do some people choose to live in the city center? What do you think buildings will be like in the future?
38,Place,Which cities are crowded in your country? Will there be more or less green space in cities in the future? Will people use bikes more or less in cities in the future? Why do people go to crowded places? Do you think there are some people who enjoy crowded places? Do you think it is a good trend to have more big cities?
39,Place,What are the differences between big cities and small cities? Where do people in your hometown like to go? What are the differences between the places young people like to go and the places old people like to go?
40,Place,"Do you like to invite your friends to your home? Why do people often take gifts with them when they visit others?¡¥ homes? Who likes to stay at home more, young people or old people? Do you think old people will be able to keep up with the pace of technology in 50 years?"
41,Place,"Why are most children interested in wild animals? Should parents take their children to see wild animals? Are wild animals easy to spot? Are there many documentaries about wild animals in your country? What impacts does only seeing wild animals in zoos have on children?¡¥s understanding of these animals? Which is the better way to see wild animals, watching documentaries or going into the wild?"
42,Place,Is it necessary to have public parks in cities? What facilities are needed in a park? Do you think people should keep parks and gardens clean? Are public parks or gardens popular among people who live in cities? Why do some people like growing vegetables? Do you think people of all ages like to go to parks?
43,Place,What are the differences between cities and towns? What has happened to towns and villages in recent years in your country? What factors will contribute to whether a place is good to live in or not? What are the major changes that have been experienced in your city?
44,Place,"Where do people often like to take photos? Who would like to take photos more often, young people or older people? Would you pay a lot of money to hire a photographer? Do you think being a photographer is a good job? On what occasions do people need formal photos?"
45,Place,Why do some people still use cash? Will the payments be digital in the future? What do you think of the view that time is as important as money? Is it more important to choose a job with a high salary or with more time off? How important is it to have a variety of payment options? Why are things more expensive in some places than in others?
46,Place,Why do people visit tourist attractions? What makes a tourist attraction famous? Do local people like to visit local tourist attractions? Do you think tourism causes environmental damage? How can people prevent the environmental damage caused by tourism? Should all tourist attractions be free to the public?
47,Place,What kind of people like to visit natural places? What are the differences between a natural place and a city? Do you think that going to the park is the only way to get close to nature? What can people gain from going to natural places? Do you think it is a good idea to let animals stay in local parks for people to ¡ã?¡Á?¨¨?¦Ì?¦Ì??¨¤1?¦Ì?¨°??¦Ì¨¢D Part3 ?¨º¨¬a¡ê?¨¦??¡ã¦Ì?2?¨ª?¦Ì?¦Ì?¨¬?¦Ì??¨¤1?¦Ì???¨°?2?¨¬?¨¬? 
48,Place,What kind of people like to visit natural places? What are the differences between a natural place and a city? Do you think that going to the park is the only way to get close to nature? What can people gain from going to natural places? Do you think it is a good idea to let animals stay in local parks for people to see?
49,Place,Why do people need friends? How do you communicate with friends? Why don?¡¥t some people like to socialise? Does technology help people communicate better with others? Do you prefer to go out with a group of friends or just with a few close friends?
50,Place,What are the differences between small stores and shopping malls? What are the differences between the shopping habits of young and old people?
51,Place,"Do you think it is good for children to make noise? Should children not be allowed to make noise under any circumstances? Which do you think makes louder noise, cities or the countryside? What types of noise do you come across in daily life? How do people respond to noises in your country?"
52,Place,Do you like to learn on your own or with others? What?¡¥s the difference between learning face-to-face with teachers and learning by yourself? Do you prefer to study at home or study in other places? What are the benefits of gaining work experience while studying? Do most people like to study in a noisy place?
53,Place,"Why is it difficult for someone to relax? Do people in your country exercise after work? What is the place where people spend most of their time in their home? Do you think there should be classes for training young people and children to relax? Which is more important, mental relaxation or physical relaxation? What are the benefits of doing exercises?"
54,Place,Why do some people visit historical buildings? Do most people agree with the government's funding to protect historical buildings? Is it necessary to protect historical buildings?
55,Place,Is there more pollution now than in the past? Do you think the city is cleaner than the countryside? In what ways can air quality be improved effectively? Do you think many factories have been forced to reduce emission?
56,Place,Why is the noise pollution worse in tourism cities than in other cities? Do you think tourists may come across bad things in other cities? Why are historical cities popular? Why do people sometimes go to other cities? Is it necessary to make a plan before visiting a city?
57,Event,Do most people mind people talking on the phone in public places? What are the differences between sitting beside a person who keeps talking on the phone and a person who keeps talking to you? Why do some people not care what they do in public places? Do you think it is fine to talk on the phone in public? Do you think people are born with or taught to have good manners?
58,Event,Why do people lose contact with their friends after graduation? Is it better to have a lot of friends than just a few friends? Would having just a few friends limit your horizons? Do you think you are good at maintaining good relationships with others? Why do people need to make new friends? Why do we have to give up some old friends?
59,Event,What can teachers do to help their students become more confident? How can teachers help their students become more confident by rewarding them for studying? What can teachers do to make studying more interesting? Do you think that children of confident parents are also confident? Why do so many people lack confidence these days?
60,Event,What can children help parents with? Should parents always help their children with everything? What can children learn by helping others? Do neighbours often help each other in your country? How do people know that their neighbours might need help? What is the advantages that children help parents?
61,Event,What kind of things do people lose easily? Why do people keep losing things? Where do people often find things they have lost? Is it important to be organized for a good student? What should parents do to teach their children not to lose things? Are there any good ways to remind us not to forget or lose tings?
62,Event,Do you think competition is all about the prize? What prizes should schools set for students? What criteria should be set for students to win a particular prize? Why do many companies offer prizes to their customers?
63,Event,What do children often do when they face a challenge? Is it easy for children to overcome a challenge? Do most people choose to face challenges alone or with others? What activities do you think would make children feel challenged? Why?
64,Event,Do you have a good relationship with your neighbours? How do neighbors help each other? Do you think neighbors help each other more often in the countryside than in the city? How do children learn to cooperate with each other? Do you think parents should teach children how to cooperate with others? How?
65,Event,What qualities should a good learner have? What skills should children learn? What are the differences between what adults learn and what children learn? Why are some people not willing to ask for help from others while studying?
66,Event,Should students learn to cook at school? Do you think people?¡¥s eating habits would change as they get older? Do people in your country like to learn to cook from TV programmes? What kinds of fast food are popular in China? What do you think about vegetarians?
67,Event,Do you think technology will make public transport better in the future? Why do people choose to travel by public transport? Do you think offering free public transport will solve traffic problems in the city? What are the disadvantages of travelling by public transport? What do you think are the cheapest and most expensive means of transport? What are the difficulties that commuters face during rush hour?
68,Event,Why do people rarely use cash now? When do children begin to comprehend the value of money? Is it good and necessary to teach children to save money? Should parents reward children with money? What are the advantages and disadvantages of using credit cards? Do you think it?¡¥s a good thing that more people are ¨º1¨®????e?¨¤1?¦Ì?¨°??¦Ì¨¢D Part3 ?¨º¨¬a¡ê?¨¦??¡ã¦Ì?2?¨ª?¨º??t¨¬?¦Ì??¨¤1?¦Ì???¨°?2?¨¬?¨¬? 
69,Event,Why do people rarely use cash now? When do children begin to comprehend the value of money? Is it good and necessary to teach children to save money? Should parents reward children with ??¡ê?What are the advantages and disadvantages of using credit cards? Do you think it?¡¥s a good thing that more people are using digital payment?
70,Event,"How should parents teach their children what a risk is? What risks should parents tell their children to avoid? Why do some people like to watch risk-taking movies? What kinds of sports are dangerous but exciting? Why do some people enjoy dangerous sports? Who is more interested in taking risks, the young or the old?"
71,Event,Is it important to have a break during work or study? What types of exercise do people in your country often do? Are there more activities for young people now than 20 years ago? Can most people balance work and life in China? Do adults and children have enough time for leisure activities nowadays?
72,Event,Should people set goals under any circumstances? Should employers reward employees with money? Is it important for employees to keep fit at work?
73,Event,What skills do adults need to have? How can people be motivated to learn new things? What can children learn from teachers and parents? How does a good learner learn something new?
74,Event,Should employees have their own goals? How should bosses reward employees? What kinds of gifts do young people like to receive as rewards? Do you think shopping is good for a country? Why do people like shopping more now than in the past? How should children spend their allowance money?
75,Event,"What kinds of sports would you like to play in the future? Why are there many athletes in advertisements? What are the features of people who watch sports games online, such as gender or age? What?¡¥s the most popular sport in your country? What kinds of sports are popular now but not popular 50 years ago? Do you think there are too many sorts of sports games on TV?"
76,Event,Is it good to share something on social media? Should the media only publish good news? How does social media help people access information? What kind of good news do people often share in the community? Do most people like to share good news with others?
77,Event,"On what occasions are people more likely to make complaints? Which one is more effective to make a complaint, writing a letter or talking face to face? Who are more likely to make complaints, older people or younger people? How should companies react to complaints? How do people often respond to poor customer service?"
78,Event,Do you think it is important to be on time? Why do you think some people are often late for meetings or appointments? Do you think people are born with time management skills or they can develop such skills? Are people in your country often late for meetings?
79,Event,Do you think people should wear formal clothes in the workplace? Why do some people like to wear traditional clothes? Do you think traditional clothes will disappear in the future? Do old people often change their dress style?
80,Event,What practical skills can young people teach old people? How can young people teach old people skills? How can we know what to do when we want to learn something new? Do you think ??showing?¡¥ is a better way than ??telling?¡¥ in education? Do people in your country like to watch videos to learn something?
81,Event,What are the advantages of children following school routines? How do people?¡¥s routines differ on weekdays and weekends? What are the differences between people?¡¥s daily routines now and in the past? What daily routines do people have at home?
82,Event,Should people set goals for themselves? How can we judge whether young people are successful nowadays? Are successful people often lonely? What kinds of success can students achieve at school? Should students be proud of their success?
83,Event,What would parents prepare for their kids when they first go to school? How do children socialize with each other? Should children learn how to socialize with others?
84,Event,"Which one is more important, personal goals or work goals? Have your life goals changed since your childhood? Does everyone set goals for themselves? What kinds of rewards are important at work? What makes people feel proud of themselves?"
85,Event,What are the advantages and disadvantages of eating in restaurants? What fast food are there in your country? Do people eat fast food at home? Why do some people choose to eat out instead of ordering takeaways? Do people in your country socialize in restaurants? Why? Do people in your country value food culture?
86,Event,How people celebrate public events? Do you think it is important to celebrate events? Should the event be prepared in advance? How can you prepare an activity?
