id,category,question
220,Relaxing,Do you think doing sports is a great way to relax?
221,Relaxing,Do you think vacation is a good time to relax?
222,Relaxing,Do you think students need more relaxing time?
223,Weekends,What do you usually do on weekends?
224,Weekends,Would you say weekends are important to us?
225,Weekends,What did you do last weekend?
226,Weekends,Do you make plans for weekends?
227,Art,Do you like art?
228,Art,Have you ever visited an art gallery?
229,Art,Do you want to be an artist?
230,Art,Do you like modern art or traditional art?
231,Outer space and stars,Have you ever learnt about outer space and stars?
232,Outer space and stars,Are you interested in films about outer space and stars?
233,Outer space and stars,Do you want to go to outer space in the future?
234,Outer space and stars,Do you want to know more about outer space?
235,T-shirts,Do you usually wear T-shirts?
236,T-shirts,Do you like T-shirts with pictures or prints?
237,T-shirts,Do you think older people are fashionable if they wear T-shirts?
238,T-shirts,Have you ever bought T-shirts as souvenirs?
239,T-shirts,Do you like wearing T-shirts?
240,Staying up late,Do you often stay up late? What do you do when you stay up late?
241,Staying up late,How do you feel when you have stayed up late the night before?
242,Staying up late,Did you stay up late when you were a kid?
243,Happiness,What made you happy when you were little?
244,Happiness,Is there anything that makes you feel happy lately?
245,Happiness,What do you think will make you feel happy in the future?
246,Happiness,Are you happy when you buy new things?
247,Happiness,When do you feel happy at work? Why?
248,Happiness,Do you think happiness is important?
249,Happiness,Do you think people are happy when buying new things?
250,Chocolate,Do you like eating chocolate?
251,Chocolate,Did you often eat chocolate when you were a child?
252,Chocolate,What?¡¥s your favorite flavour?
253,Chocolate,Do you think it is good to give others chocolate as gifts?
254,Chocolate,Why do you think chocolate is popular around the world?
255,Chocolate,How often do you eat chocolate?
256,Sharing,Did your parents teach you to share when you were a child?
257,Sharing,What kind of things do you like to share with others?
258,Sharing,What kind of things are not suitable for sharing?
259,Sharing,Do you have anything to share with others recently?
260,Classmates,Do you like your desk mates in primary school?
261,Classmates,Can students choose their desk mates in your country?
262,Classmates,Is it good for children to play with their classmates?
263,Challenges,What subject do you think is the most challenging at school?
264,Challenges,Do you like to challenge yourself?
265,Challenges,Do you like to live a life that has a lot Specification ?¨¤1?¦Ì??¨¤???¨º¨¬a¡ê?¡ä¨®?¡ìD¡ê¨¤?¡Á???¨¬???D?¦Ì?????¦Ì???¨¨???¨¬???¦Ì?¨¬??¨¨¦Ì¨¨ 
266,Challenges,How do you usually deal with challenges in daily life?
267,Music,What kinds of music do you like to listen to?
268,Music,Do you enjoy the same kind of music with your friend?
269,Music,Which singer or musician would you like to see in the concert that is going to be focused on in your city?
270,Music,Is there any kind of music that you don?¡¥t enjoy very much?
271,Maths,Do you think it is difficult to learn mathematics well?
272,Maths,Do you often use a calculator?
273,Maths,Do you think mathematics is important?
274,Maths,Do you think females (girls) are good at math?
275,Flowers,What kinds of flowers do you know?
276,Flowers,Are there any flowers that have special meanings in China?
277,Flowers,Have you planted any flowers?
278,Flowers,Have you sent flowers to others?
279,Pets and animals,What?¡¥s your favourite animal?
280,Pets and animals,"Where do you prefer to keep your pet, indoors or outdoors?"
281,Pets and animals,Did you have any pets when you were a child?
282,Pets and animals,What is the most popular animal in China?
283,News,Are you interested in news?
284,News,How do you usually find news?
285,News,How do your friends get news?
286,News,Have you read the news this morning?
287,News,Do you often talk with your friends about the news?
